unixtime,temp,oxy
1723580040,11.267,9.175
1723580640,10.907,9.389
1723581240,10.916,9.419
1723581840,11.15,9.403
1723582440,11.411,9.384
1723583040,11.652,9.343
1723583640,11.76,9.236
1723584240,11.822,9.172
1723584840,11.911,9.151
1723585440,12.089,9.145
1723586040,12.284,9.117
1723586640,12.47,9.076
1723587240,12.603,9.008
1723587840,12.621,8.876
1723588440,12.638,8.744
1723589040,12.594,8.656
1723589640,12.515,8.603
1723590240,12.417,8.544
1723590840,12.302,8.52
1723591440,12.24,8.483
1723592040,12.187,8.461
1723592640,12.116,8.457
1723593240,12.116,8.43
1723593840,12.098,8.427
1723594440,12.125,8.401
1723595040,12.107,8.414
1723595640,12.098,8.443
1723596240,12.098,8.474
1723596840,12.098,8.51
1723597440,12.089,8.53
1723598040,12.062,8.543
1723598640,12.027,8.553
1723599240,11.982,8.551
1723599840,11.974,8.542
1723600440,11.929,8.561
1723601040,11.884,8.522
1723601640,11.849,8.486
1723602240,11.786,8.457
1723602840,11.751,8.422
1723603440,11.679,8.391
1723604040,11.617,8.379
1723604640,11.545,8.363
1723605240,11.456,8.351
1723605840,11.402,8.356
1723606440,11.348,8.346
1723607040,11.294,8.34
1723607640,11.213,8.341
1723608240,11.15,8.354
1723608840,11.051,8.37
1723609440,11.024,8.373
1723610040,10.961,8.395
1723610640,10.943,8.385
1723611240,10.889,8.398
1723611840,10.808,8.413
1723612440,10.771,8.417
1723613040,10.69,8.439
1723613640,10.645,8.453
1723614240,10.581,8.465
1723614840,10.554,8.47
1723615440,10.509,8.486
1723616040,10.472,8.489
1723616640,10.445,8.495
1723617240,10.409,8.499
1723617840,10.336,8.523
1723618440,10.318,8.526
1723619040,10.272,8.541
1723619640,10.217,8.552
1723620240,10.163,8.566
1723620840,10.126,8.579
1723621440,10.108,8.583
1723622040,10.035,8.599
1723622640,10.007,8.606
1723623240,9.971,8.603
1723623840,9.952,8.617
1723624440,9.888,8.626
1723625040,9.842,8.638
1723625640,9.824,8.643
1723626240,9.778,8.655
1723626840,9.732,8.66
1723627440,9.677,8.686
1723628040,9.668,8.683
1723628640,9.65,8.684
1723629240,9.604,8.694
1723629840,9.558,8.712
1723630440,9.539,8.712
1723631040,9.484,8.714
1723631640,9.456,8.722
1723632240,9.419,8.732
1723632840,9.382,8.74
1723633440,9.382,8.742
1723634040,9.308,8.764
1723634640,9.281,8.765
1723635240,9.244,8.775
1723635840,9.207,8.778
1723636440,9.179,8.796
1723637040,9.132,8.802
1723637640,9.105,8.811
1723638240,9.058,8.825
1723638840,9.04,8.838
1723639440,9.012,8.85
1723640040,8.993,8.858
1723640640,8.947,8.87
1723641240,8.919,8.901
1723641840,8.9,8.909
1723642440,8.863,8.924
1723643040,8.835,8.945
1723643640,8.807,8.969
1723644240,8.807,9.01
1723644840,8.76,9.065
1723645440,8.742,9.13
1723646040,8.76,9.189
1723646640,8.77,9.239
1723647240,8.798,9.294
1723647840,8.835,9.355
1723648440,8.844,9.381
1723649040,8.863,9.415
1723649640,8.882,9.448
1723650240,8.882,9.452
1723650840,8.882,9.473
1723651440,8.947,9.496
1723652040,9.021,9.519
1723652640,9.132,9.529
1723653240,9.253,9.532
1723653840,9.373,9.532
1723654440,9.475,9.55
1723655040,9.659,9.554
1723655640,9.87,9.56
1723656240,10.08,9.445
