unixtime,temp,oxy
1496298780,9.343728,7.55578
1496299380,9.297429,7.564139
1496299980,9.260365,7.581817
1496300580,9.223279,7.593437
1496301180,9.19545,7.602171
1496301780,9.158325,7.583284
1496302380,9.121179,7.601051
1496302980,9.093304,7.603701
1496303580,9.065417,7.563659
1496304180,9.028215,7.557063
1496304780,9.000299,7.58408
1496305380,8.97237,7.598968
1496305980,8.944428,7.620016
1496306580,8.916474,7.62885
1496307180,8.897831,7.634749
1496307780,8.869856,7.655912
1496308380,8.841867,7.664805
1496308980,8.823202,7.664579
1496309580,8.795192,7.661166
1496310180,8.776512,7.660948
1496310780,8.757826,7.654578
1496311380,8.729787,7.663498
1496311980,8.701734,7.672436
1496312580,8.664311,7.665872
1496313180,8.636228,7.650194
1496313780,8.589395,7.652803
1496314380,8.542525,7.655433
1496314980,8.495619,7.658085
1496315580,8.448676,7.679248
1496316180,8.411096,7.697471
1496316780,8.373491,7.72195
1496317380,8.335863,7.746518
1496317980,8.298212,7.783672
1496318580,8.269958,7.824222
1496319180,8.251114,7.887197
1496319780,8.251114,7.989232
1496320380,8.251114,8.073113
1496320980,8.269958,8.158033
1496321580,8.298212,8.260534
1496322180,8.326453,8.36437
1496322780,8.382895,8.521117
1496323380,8.467458,8.670836
1496323980,8.561277,8.827138
1496324580,8.654951,8.957629
1496325180,8.76717,9.083334
1496325780,8.907153,9.185687
1496326380,9.065417,9.297586
1496326980,9.241825,9.389015
1496327580,9.426982,9.47068
1496328180,9.620817,9.542347
1496328780,9.832442,9.631593
1496329380,10.079997,9.684375
1496329980,10.344859,9.731284
1496330580,10.608682,9.771521
1496331180,10.889579,9.822049
1496331780,11.178358,9.83812
1496332380,11.465972,9.839181
1496332980,11.761393,9.87866
1496333580,12.064549,9.883398
1496334180,12.375374,9.894215
1496334780,12.693807,9.919523
1496335380,13.002199,9.900131
1496335980,13.318221,9.911748
1496336580,13.633088,9.924803
1496337180,13.964246,9.991311
1496337780,14.276883,10.032863
1496338380,14.597144,9.996569
1496338980,14.899148,9.968052
1496339580,15.208862,10.0052
1496340180,15.517688,9.984347
1496340780,15.825666,9.956221
1496341380,16.132837,9.920822
1496341980,16.430742,9.772132
1496342580,16.498736,9.648865
1496343180,16.583679,9.481097
1496343780,16.626131,9.386483
1496344380,16.575188,9.237943
1496344980,16.541215,9.163697
1496345580,16.498736,9.131448
1496346180,16.439243,9.166682
1496346780,16.430742,9.31012
1496347380,16.592171,9.502383
1496347980,16.795801,9.644008
1496348580,17.007594,9.686052
1496349180,17.19371,9.754534
1496349780,17.379591,9.798899
1496350380,17.531506,9.805031
1496350980,17.61584,9.478188
1496351580,17.49776,9.229833
1496352180,17.362702,8.972171
1496352780,17.210618,8.765604
1496353380,16.999128,8.518848
